1,2,3,4
4.668,3924.861,4.208,0.926
4.668,3926.885,5.81,2.462
4.668,3928.879,0.92,5.385
4.668,3930.875,2.324,2.6
4.668,3932.864,3.684,5.438
4.668,3934.875,5.193,1.375
4.668,3936.859,0.235,5.17
4.668,3938.841,1.539,3.311
4.668,3940.859,3.099,5.698
4.668,3942.856,4.513,1.028
4.668,3944.842,5.849,4.787
4.668,3946.841,0.989,2.85
4.668,3948.855,2.521,2.252
4.668,3950.845,3.884,3.862
4.668,3952.853,5.371,2.453
4.668,3954.87,0.647,3.927
4.668,3956.859,2.0,5.082
4.668,3958.852,3.385,0.378
4.668,3960.861,4.882,5.319
4.668,3962.852,6.254,3.425
4.668,3964.873,1.554,2.44
4.668,3966.855,2.864,3.615
4.668,3968.846,4.232,2.006
4.668,3970.87,5.832,0.227
4.668,3972.86,0.915,5.101
4.668,3974.86,2.348,6.081
4.668,3976.882,3.937,5.855
4.668,3978.876,5.324,3.638
4.668,3980.854,0.321,3.829
4.668,3982.86,1.794,6.281
4.668,3984.859,3.222,6.137
4.668,3986.843,4.545,6.273
4.668,3988.828,5.874,4.494
4.668,3990.848,1.163,2.868
4.668,3992.843,2.561,0.223
4.668,3994.832,3.919,4.013
4.668,3996.854,5.511,2.025
4.668,3998.85,0.631,5.975
4.668,4000.836,1.962,3.4
4.668,4002.855,3.535,0.04
4.668,4004.852,4.941,1.11
4.668,4006.842,0.027,6.129
4.668,4008.846,1.489,6.061
4.668,4010.853,2.966,5.782
4.668,4012.839,4.307,4.488
4.668,4014.837,5.722,3.059
4.668,4016.846,0.936,0.785
4.668,4018.84,2.332,2.596
4.668,4020.838,3.749,2.463
4.668,4022.848,5.252,2.578
4.668,4024.844,0.375,3.642
4.668,4026.857,1.896,4.947
4.668,4028.858,3.343,3.455
4.668,4030.856,4.763,2.449
4.668,4032.857,6.204,0.893
4.668,4034.855,1.335,5.578
4.668,4036.849,2.725,2.556
4.668,4038.848,4.153,2.119
4.668,4040.844,5.556,1.024
4.668,4042.844,0.709,5.394
4.668,4044.843,2.134,2.604
4.668,4046.835,3.514,1.233
4.668,4048.832,4.931,0.95
4.668,4050.828,0.051,5.409
4.668,4052.853,1.659,2.393
4.668,4054.839,2.992,5.841
4.668,4056.832,4.383,3.769
4.668,4058.854,5.969,2.817
4.668,4060.843,1.038,6.056
4.668,4062.843,2.471,5.551
4.668,4064.857,4.006,0.768
4.668,4066.842,5.332,1.751
4.668,4068.835,0.434,nan
4.668,4070.832,1.845,2.356
4.668,4072.846,3.383,0.11
4.668,4074.84,4.773,1.993
4.668,4076.831,6.139,0.371
4.668,4078.858,1.48,4.415
4.668,4080.842,2.8,0.519
4.668,4082.822,4.096,2.854
4.668,4084.822,5.532,0.061
4.668,4086.835,0.771,1.623
4.668,4088.84,2.239,5.508
4.668,4090.844,3.699,1.752
4.668,4092.836,5.084,2.2
4.668,4094.845,0.293,1.713
4.668,4096.854,1.793,3.092
4.668,4098.849,3.191,1.152
4.668,4100.859,4.697,6.032
4.668,4102.86,6.138,2.251
4.668,4104.842,1.162,5.921
4.668,4106.838,2.563,5.917
4.668,4108.851,4.087,0.956
4.668,4110.843,5.464,2.009
4.668,4112.837,0.576,2.599
4.668,4114.849,2.09,2.285
4.668,4116.839,3.458,2.5
4.668,4118.824,4.781,3.596
4.668,4120.825,6.223,0.161
4.668,4122.825,1.373,2.409
4.668,4124.821,2.784,2.315
4.668,4126.812,4.156,0.561
4.668,4128.833,5.736,5.55
4.668,4130.834,0.889,2.473
4.668,4132.815,2.193,5.179
4.668,4134.828,3.715,0.5
4.668,4136.824,5.119,nan
4.668,4138.807,0.153,0.0
4.668,4140.819,1.672,1.723
4.668,4142.811,3.043,0.216
4.668,4144.815,4.509,6.208
4.668,4146.839,6.111,0.254
4.668,4148.822,1.146,4.898
4.668,4150.834,2.662,0.104
4.668,4152.833,4.082,2.837
4.668,4154.825,5.464,0.066
4.668,4156.831,0.657,1.718
4.668,4158.828,2.071,5.127
4.668,4160.831,3.523,5.969
4.668,4162.844,5.05,5.637
4.668,4164.832,0.114,1.519
4.668,4166.829,1.526,4.6
4.668,4168.843,3.055,2.705
4.668,4170.832,4.416,0.985
4.668,4172.836,5.879,5.165
