1,2,3,4
0.97,0.97,0.0,0.0
0.97,0.971,0.757,1.732
0.97,0.971,0.757,4.538
0.97,0.971,0.76,3.337
0.97,0.97,0.752,4.799
0.97,0.971,0.76,2.925
0.97,0.971,0.76,2.72
0.97,0.971,0.757,5.393
0.97,0.971,0.757,2.273
0.97,0.971,0.757,5.956
0.97,0.971,0.76,4.088
0.97,0.971,0.757,1.501
0.97,0.971,0.757,0.207
0.97,0.971,0.757,6.073
0.97,0.971,0.757,6.031
0.97,0.971,0.762,2.422
0.97,0.971,0.757,1.374
0.97,0.971,0.76,2.309
0.97,0.971,0.757,0.0
0.97,0.971,0.762,3.87
0.97,0.971,0.762,3.462
0.97,0.971,0.762,5.976
0.97,0.973,0.773,5.947
0.97,0.974,0.784,3.358
0.97,0.975,0.789,5.968
0.97,0.973,0.776,6.005
0.97,0.975,0.787,0.297
0.97,0.976,0.792,2.247
0.97,0.976,0.792,0.992
0.97,0.974,0.781,0.197
0.97,0.974,0.781,5.726
0.97,0.975,0.789,0.037
0.97,0.974,0.781,5.683
0.97,0.975,0.787,1.176
0.97,0.974,0.784,4.268
0.97,0.975,0.789,0.883
0.97,0.975,0.787,5.845
0.97,0.974,0.781,2.864
0.97,0.975,0.789,5.391
0.97,0.974,0.784,2.825
0.97,0.974,0.784,6.072
0.97,0.974,0.784,3.008
0.97,0.975,0.789,5.956
0.97,0.975,0.787,2.469
0.97,0.974,0.781,0.55
0.97,0.975,0.787,4.585
0.97,0.975,0.787,2.43
0.97,0.974,0.784,4.31
0.97,0.974,0.778,1.751
0.97,0.974,0.781,3.202
0.97,0.974,0.784,1.119
0.97,0.974,0.784,2.034
0.97,0.974,0.784,1.302
0.97,0.975,0.789,3.322
0.97,0.975,0.787,4.958
0.97,0.975,0.787,6.234
0.97,0.974,0.784,3.562
0.97,0.975,0.787,4.505
0.97,0.974,0.784,3.863
0.97,0.974,0.778,0.583
0.97,0.974,0.781,6.279
0.97,0.974,0.784,6.104
0.97,0.974,0.784,2.674
0.97,0.976,0.795,1.455
0.97,0.974,0.781,2.72
0.97,0.975,0.789,0.592
0.97,0.976,0.792,2.315
0.97,0.975,0.787,2.733
0.97,0.976,0.792,5.829
0.97,0.975,0.789,1.55
0.97,0.976,0.792,3.307
0.97,0.975,0.787,nan
0.97,0.974,0.781,5.003
0.97,0.974,0.781,2.156
0.97,0.975,0.789,3.148
0.97,0.974,0.784,5.977
0.97,0.974,0.784,2.805
0.97,0.975,0.787,3.535
0.97,0.974,0.781,5.454
0.97,0.974,0.781,2.97
0.97,0.975,0.789,3.008
0.97,0.974,0.784,2.601
0.97,0.975,0.789,2.934
0.97,0.974,0.778,6.009
0.97,0.974,0.781,2.584
0.97,0.974,0.781,5.538
0.97,0.974,0.784,5.934
0.97,0.974,0.781,2.46
0.97,0.974,0.784,0.579
0.97,0.974,0.784,5.409
0.97,0.974,0.784,3.536
0.97,0.975,0.787,5.431
0.97,0.974,0.781,2.185
0.97,0.975,0.789,0.101
0.97,0.974,0.784,0.454
0.97,0.974,0.781,2.838
0.97,0.975,0.789,0.416
0.97,0.976,0.792,4.021
0.97,0.974,0.781,0.007
0.97,0.974,0.781,1.918
0.97,0.975,0.787,5.302
0.97,0.974,0.781,5.703
0.97,0.975,0.787,6.276
0.97,0.975,0.787,5.589
0.97,0.975,0.787,0.57
0.97,0.974,0.781,2.725
0.97,0.976,0.792,5.331
0.97,0.974,0.784,5.32
0.97,0.976,0.792,0.126
0.97,0.975,0.787,2.688
0.97,0.975,0.789,3.043
0.97,0.975,0.789,4.463
0.97,0.976,0.792,2.983
0.97,0.976,0.795,5.942
0.97,0.976,0.792,5.519
0.97,0.974,0.784,3.689
0.97,0.974,0.781,0.722
0.97,0.974,0.781,2.125
0.97,0.974,0.784,3.181
0.97,0.975,0.789,0.46
0.97,0.975,0.787,1.731
