1,2,3,4
5.19,-148.143,0.056,5.834
5.19,-146.146,1.467,1.046
5.19,-144.139,2.946,2.424
5.19,-142.142,4.363,3.862
5.19,-140.131,5.874,5.306
5.19,-138.13,1.032,0.42
5.19,-136.149,2.328,1.835
5.19,-134.153,3.737,3.29
5.19,-132.132,5.318,4.799
5.19,-130.146,0.366,6.167
5.19,-128.147,1.796,1.387
5.19,-126.132,3.331,2.791
5.19,-124.135,4.748,4.259
5.19,-122.148,6.09,5.643
5.19,-120.149,1.235,0.715
5.19,-118.151,2.652,2.164
5.19,-116.154,4.064,3.601
5.19,-114.149,5.534,5.005
5.19,-112.151,0.668,0.07
5.19,-110.155,2.074,1.61
5.19,-108.148,3.561,3.035
5.19,-106.132,5.104,4.566
5.19,-104.133,0.249,6.008
5.19,-102.15,1.559,1.212
5.19,-100.138,3.083,2.53
5.19,-98.148,4.446,3.936
5.19,-96.156,5.82,5.364
5.19,-94.135,1.121,0.51
5.19,-92.147,2.468,1.969
5.19,-90.146,3.909,3.448
5.19,-88.123,5.5,4.957
5.19,-86.124,0.648,0.074
5.19,-84.131,2.033,1.571
5.19,-82.127,3.49,2.953
5.19,-80.131,4.901,4.382
5.19,-78.133,0.035,5.822
5.19,-76.13,1.493,1.036
5.19,-74.133,2.899,2.385
5.19,-72.143,4.265,3.791
5.19,-70.14,5.722,5.17
5.19,-68.133,0.918,0.284
5.19,-66.139,2.311,1.82
5.19,-64.135,3.773,3.224
5.19,-62.14,5.171,4.644
5.19,-60.144,0.292,6.08
5.19,-58.163,1.593,1.176
5.19,-56.141,3.185,2.637
5.19,-54.145,4.591,4.087
5.19,-52.153,5.965,5.524
5.19,-50.133,1.257,0.719
5.19,-48.149,2.575,2.073
5.19,-46.156,3.963,3.506
5.19,-44.137,5.53,4.991
5.19,-42.127,0.752,0.151
5.19,-40.128,2.175,1.69
5.19,-38.129,3.6,3.137
5.19,-36.114,5.143,4.585
5.19,-34.124,0.221,5.997
5.19,-32.134,1.587,1.142
5.19,-30.113,3.165,2.592
5.19,-28.13,4.48,3.957
5.19,-26.152,5.757,5.31
5.19,-24.133,1.044,0.415
5.19,-22.14,2.429,1.921
5.19,-20.155,3.754,3.295
5.19,-18.138,5.308,4.756
5.19,-16.137,0.469,6.212
5.19,-14.151,1.805,1.359
5.19,-12.136,3.341,2.78
5.19,-10.15,4.677,4.166
5.19,-8.168,5.984,5.507
5.19,-6.15,1.263,0.685
5.19,-4.157,2.645,2.115
5.19,-2.165,4.022,3.539
5.19,-0.145,5.6,5.022
5.19,1.852,0.723,0.132
5.19,3.854,2.175,1.7
5.19,5.874,3.745,3.163
5.19,7.871,5.162,4.632
5.19,9.864,0.263,6.05
5.19,11.855,1.632,1.202
5.19,13.869,3.167,2.627
5.19,15.849,4.458,3.96
5.19,17.827,5.736,5.285
5.19,19.867,1.165,0.531
5.19,21.861,2.558,2.032
5.19,23.846,3.889,3.407
5.19,25.849,5.343,4.891
5.19,27.864,0.601,6.283
5.19,29.85,1.934,1.472
5.19,31.847,3.343,2.887
5.19,33.859,4.865,4.321
5.19,35.855,6.271,5.786
5.19,37.864,1.48,1.114
5.19,39.869,2.951,2.416
5.19,41.86,4.32,3.8
5.19,43.86,5.758,5.286
5.19,45.863,0.927,0.295
5.19,47.849,2.261,1.772
5.19,49.843,3.654,3.189
5.19,51.847,5.119,4.569
5.19,53.834,0.175,5.938
5.19,55.829,1.576,1.114
5.19,57.854,3.186,2.636
5.19,59.847,4.568,4.059
5.19,61.839,5.945,5.47
5.19,63.854,1.202,0.59
5.19,65.848,2.59,2.077
5.19,67.833,3.924,3.454
5.19,69.847,5.451,4.879
5.19,71.844,0.584,6.275
5.19,73.834,1.945,1.491
5.19,75.847,3.469,2.889
5.19,77.837,4.833,4.295
5.19,79.834,6.25,5.765
5.19,81.867,1.625,1.185
5.19,83.872,3.096,2.518
5.19,85.866,4.489,3.954
5.19,87.869,5.946,5.462
5.19,89.853,0.981,0.479
5.19,91.866,2.505,1.945
5.19,93.859,3.892,3.388
5.19,95.851,5.269,4.804
5.19,97.85,0.414,6.157
5.19,99.837,1.753,1.269
5.19,101.834,3.167,2.683
5.19,103.836,4.617,4.063
5.19,105.826,5.98,5.502
5.19,107.842,1.24,0.789
5.19,109.86,2.802,2.257
5.19,111.85,4.162,3.68
5.19,113.848,5.585,5.13
5.19,115.867,0.864,0.25
5.19,117.853,2.203,1.718
5.19,119.858,3.674,3.209
5.19,121.867,5.171,4.61
5.19,123.848,0.187,5.961
5.19,125.845,1.601,1.162
5.19,127.845,3.029,2.474
5.19,129.836,4.4,3.882
5.19,131.838,5.847,5.368
5.19,133.853,1.104,0.503
5.19,135.852,2.529,2.013
5.19,137.853,3.97,3.48
5.19,139.867,5.503,4.928
5.19,141.851,0.545,6.255
5.19,143.851,1.978,1.496
5.19,145.846,3.377,2.9
5.19,147.855,4.869,4.289
5.19,149.845,6.235,5.738
5.19,151.85,1.417,1.051
5.19,153.861,2.931,2.362
5.19,155.848,4.273,3.759
5.19,157.844,5.681,5.199
5.19,159.853,0.89,0.217
5.19,161.833,2.184,1.672
5.19,163.826,3.571,3.083
5.19,165.834,5.058,4.478
5.19,167.827,0.16,5.929
5.19,169.835,1.649,1.219
5.19,171.825,3.015,2.566
5.19,173.838,4.537,4.001
5.19,175.841,5.994,5.51
5.19,177.832,1.08,0.614
5.19,179.85,2.642,2.113
5.19,181.852,4.086,3.587
5.19,183.839,5.43,4.975
5.19,185.85,0.661,0.051
5.19,187.839,2.016,1.539
5.19,189.83,3.387,2.917
5.19,191.834,4.847,4.292
5.19,193.814,6.141,5.659
5.19,195.814,1.294,0.871
5.19,197.828,2.823,2.277
5.19,199.821,4.208,3.721
5.19,201.83,5.706,5.245
5.19,203.85,0.992,0.393
5.19,205.858,2.482,1.955
5.19,207.857,3.912,3.408
5.19,209.851,5.305,4.829
5.19,211.849,0.439,6.179
5.19,213.839,1.805,1.314
5.19,215.827,3.155,2.696
5.19,217.836,4.647,4.092
5.19,219.835,6.078,5.567
5.19,221.822,1.134,0.661
5.19,223.838,2.682,2.15
5.19,225.832,4.072,3.552
5.19,227.816,5.395,4.908
5.19,229.834,0.672,0.038
5.19,231.833,2.099,1.594
5.19,233.836,3.551,3.072
5.19,235.851,5.089,4.528
5.19,237.838,0.153,5.932
5.19,239.836,1.57,1.171
5.19,241.847,3.081,2.498
5.19,243.83,4.399,3.884
5.19,245.828,5.813,5.327
5.19,247.846,1.092,0.477
5.19,249.834,2.442,1.932
5.19,251.829,3.837,3.354
5.19,253.836,5.324,4.738
5.19,255.816,0.334,6.115
5.19,257.823,1.819,1.346
5.19,259.81,3.16,2.703
5.19,261.82,4.663,4.114
5.19,263.823,6.115,5.627
5.19,265.817,1.228,0.804
5.19,267.83,2.752,2.217
5.19,269.843,4.276,3.735
5.19,271.831,5.621,5.123
5.19,273.816,0.666,0.133
5.19,275.82,2.134,1.616
5.19,277.819,3.554,3.05
5.19,279.816,4.971,4.51
5.19,281.822,0.164,5.924
5.19,283.837,1.704,1.192
5.19,285.837,3.137,2.657
5.19,287.836,4.562,4.021
5.19,289.831,5.963,5.453
5.19,291.826,1.076,0.581
5.19,293.833,2.557,2.024
5.19,295.84,4.039,3.533
5.19,297.837,5.456,4.977
5.19,299.832,0.568,6.265
5.19,301.834,2.017,1.518
5.19,303.819,3.346,2.887
5.19,305.832,4.867,4.317
5.19,307.834,0.036,5.796
5.19,309.823,1.394,1.034
5.19,311.833,2.892,2.332
5.19,313.824,4.263,3.739
5.19,315.818,5.658,5.17
5.19,317.835,0.929,0.282
5.19,319.834,2.354,1.844
5.19,321.84,3.828,3.34
5.19,323.849,5.328,4.758
5.19,325.839,0.405,6.169
5.19,327.835,1.812,1.345
5.19,329.833,3.229,2.661
5.19,331.828,4.627,4.056
5.19,333.829,6.068,5.539
5.19,335.831,1.237,0.785
5.19,337.834,2.689,2.14
5.19,339.838,4.149,3.621
5.19,341.832,5.544,5.062
5.19,343.833,0.702,0.073
5.19,345.836,2.151,1.626
5.19,347.824,3.507,3.013
5.19,349.817,4.886,4.427
5.19,351.83,0.13,5.878
5.19,353.813,1.448,1.095
5.19,355.8,2.79,2.341
5.19,357.824,4.386,3.846
5.19,359.825,5.828,5.331
5.19,361.818,0.932,0.386
5.19,363.831,2.454,1.906
5.19,365.833,3.906,3.393
5.19,367.827,5.293,4.836
5.19,369.836,0.507,6.215
5.19,371.835,1.932,1.444
5.19,373.826,3.306,2.825
5.19,375.833,4.788,4.263
5.19,377.826,6.17,5.649
5.19,379.818,1.266,0.844
5.19,381.814,2.675,2.164
5.19,383.811,4.084,3.587
5.19,385.809,5.504,5.031
5.19,387.822,0.748,0.114
5.19,389.826,2.208,1.7
5.19,391.815,3.563,3.095
5.19,393.819,5.023,4.567
5.19,395.845,0.361,6.097
5.19,397.836,1.732,1.244
5.19,399.833,3.141,2.675
5.19,401.849,4.69,4.143
5.19,403.839,6.05,5.543
5.19,405.836,1.179,0.731
5.19,407.852,2.727,2.194
5.19,409.848,4.134,3.619
5.19,411.834,5.465,4.99
5.19,413.833,0.612,0.009
5.19,415.832,2.034,1.528
5.19,417.819,3.379,2.906
5.19,419.822,4.836,4.294
5.19,421.829,0.032,5.789
5.19,423.83,1.473,1.072
5.19,425.837,2.954,2.43
5.19,427.842,4.428,3.91
5.19,429.841,5.856,5.361
5.19,431.851,1.07,0.46
5.19,433.84,2.433,1.926
5.19,435.828,3.778,3.296
5.19,437.833,5.251,4.69
5.19,439.836,0.42,6.153
5.19,441.815,1.708,1.243
5.19,443.833,3.265,2.684
5.19,445.834,4.709,4.19
5.19,447.816,6.013,5.543
5.19,449.832,1.276,0.704
5.19,451.831,2.706,2.174
5.19,453.834,4.155,3.645
5.19,455.835,5.602,5.108
5.19,457.834,0.741,0.11
5.19,459.831,2.153,1.624
5.19,461.828,3.564,3.074
5.19,463.839,5.075,4.511
5.19,465.844,0.26,5.997
5.19,467.841,1.677,1.263
5.19,469.839,3.097,2.539
5.19,471.833,4.49,3.959
5.19,473.83,5.901,5.408
5.19,475.818,0.965,0.473
5.19,477.833,2.506,1.97
5.19,479.816,3.818,3.322
5.19,481.814,5.24,4.775
5.19,483.826,0.471,6.22
5.19,485.812,1.813,1.347
5.19,487.804,3.19,2.744
5.19,489.823,4.754,4.22
5.19,491.813,6.12,5.621
5.19,493.806,1.222,0.799
5.19,495.82,2.752,2.218
5.19,497.819,4.179,3.676
5.19,499.814,5.575,5.104
5.19,501.826,0.811,0.186
5.19,503.82,2.204,1.695
5.19,505.816,3.607,3.137
5.19,507.819,5.064,4.524
5.19,509.817,0.196,5.954
5.19,511.813,1.605,1.154
5.19,513.82,3.083,2.55
5.19,515.826,4.559,4.044
5.19,517.826,5.992,5.52
5.19,519.83,1.177,0.721
5.19,521.845,2.715,2.186
5.19,523.835,4.073,3.56
5.19,525.825,5.442,4.993
5.19,527.843,0.715,0.091
5.19,529.832,2.073,1.569
5.19,531.831,3.498,3.032
5.19,533.846,5.036,4.476
5.19,535.832,0.092,5.872
5.19,537.828,1.498,1.113
5.19,539.836,2.985,2.441
5.19,541.83,4.378,3.865
5.19,543.817,5.717,5.259
5.19,545.822,0.907,0.272
5.19,547.819,2.322,1.799
5.19,549.812,3.701,3.208
5.19,551.82,5.193,4.647
5.19,553.832,0.424,6.147
5.19,555.83,1.849,1.377
5.19,557.834,3.309,2.755
5.19,559.833,4.734,4.21
5.19,561.834,6.175,5.674
5.19,563.833,1.32,0.792
5.19,565.829,2.726,2.201
5.19,567.823,4.116,3.63
5.19,569.821,5.536,5.098
5.19,571.846,0.86,0.252
5.19,573.836,2.226,1.748
5.19,575.827,3.598,3.14
5.19,577.842,5.135,4.597
5.19,579.83,0.199,5.988
5.19,581.827,1.616,1.183
5.19,583.816,2.972,2.515
5.19,585.826,4.472,3.918
