1,2,3,4
3.0,3.0,0.119,-0.063
3.0,2.999,-0.29,-0.07
3.0,3.0,0.127,-0.074
3.0,3.0,-0.122,-0.061
3.0,3.0,0.178,-0.06
3.0,3.0,0.214,-0.059
3.0,3.001,0.322,-0.077
3.0,3.0,-0.055,-0.069
3.0,3.0,0.07,-0.056
3.0,3.0,0.216,-0.083
3.0,3.0,0.097,-0.068
3.0,3.0,0.123,-0.068
3.0,3.0,0.017,-0.06
3.0,3.0,0.037,-0.067
3.0,3.0,-0.019,-0.069
3.0,3.0,-0.009,-0.066
3.0,2.999,-0.216,-0.071
3.0,3.0,-0.172,-0.069
3.0,3.0,-0.042,-0.061
3.0,3.001,0.186,-0.062
3.0,3.0,-0.181,-0.072
3.0,2.999,-0.348,-0.06
3.0,2.999,-0.216,-0.066
3.0,3.0,-0.157,-0.076
3.0,3.0,-0.044,-0.058
3.0,2.999,-0.157,-0.067
3.0,3.0,0.057,-0.063
3.0,3.0,0.194,-0.065
3.0,3.0,0.07,-0.064
3.0,3.0,0.084,-0.068
3.0,3.001,0.252,-0.078
3.0,3.0,0.064,-0.059
3.0,3.0,0.033,-0.069
3.0,3.0,0.118,-0.072
3.0,3.0,-0.026,-0.067
3.0,2.999,-0.211,-0.074
3.0,3.0,-0.079,-0.073
3.0,3.001,0.338,-0.074
3.0,3.0,-0.077,-0.062
3.0,3.0,-0.088,-0.076
3.0,2.999,-0.205,-0.058
3.0,2.999,-0.227,-0.074
3.0,3.0,-0.018,-0.057
3.0,3.0,-0.171,-0.074
3.0,3.0,-0.131,-0.069
3.0,3.0,0.006,-0.058
3.0,3.0,-0.088,-0.068
3.0,3.0,-0.012,-0.075
3.0,3.0,0.016,-0.045
3.0,3.0,0.178,-0.067
3.0,3.0,-0.071,-0.059
3.0,3.0,-0.031,-0.07
3.0,3.0,-0.175,-0.065
3.0,3.0,0.179,-0.073
3.0,3.0,0.031,-0.067
3.0,3.0,0.033,-0.054
3.0,3.0,0.051,-0.068
3.0,2.999,-0.284,-0.06
3.0,3.0,0.042,-0.069
3.0,3.0,-0.113,-0.069
3.0,3.0,-0.003,-0.074
3.0,3.0,-0.089,-0.074
3.0,3.0,-0.163,-0.052
3.0,3.0,-0.129,-0.071
3.0,3.0,-0.068,-0.068
3.0,3.0,-0.078,-0.069
3.0,3.0,0.154,-0.066
3.0,3.0,-0.079,-0.07
3.0,3.001,0.183,-0.071
3.0,3.0,-0.169,-0.077
3.0,2.999,-0.299,-0.081
3.0,3.0,0.03,-0.064
3.0,3.0,-0.152,-0.065
3.0,3.0,0.107,-0.073
3.0,3.0,-0.05,-0.068
3.0,3.0,-0.194,-0.07
3.0,3.0,0.057,-0.066
3.0,3.001,0.137,-0.071
3.0,3.0,0.001,-0.066
3.0,2.999,-0.282,-0.071
3.0,3.002,0.364,-0.061
3.0,3.0,-0.192,-0.076
3.0,3.0,-0.124,-0.068
3.0,3.001,0.194,-0.069
3.0,3.0,-0.0,-0.061
3.0,2.999,-0.293,-0.071
