1,2,3,4
0.969,850.666,4.728,0.0
0.969,851.659,5.398,0.0
0.969,852.661,6.129,0.0
0.969,853.658,0.54,0.0
0.969,854.676,1.381,0.0
0.969,855.671,2.067,0.0
0.969,856.662,2.715,0.0
0.969,857.669,3.484,0.0
0.969,858.662,4.154,0.0
0.969,859.664,4.885,0.0
0.969,860.674,5.673,0.0
0.969,861.668,0.064,0.0
0.969,862.67,0.793,0.0
0.969,863.668,1.498,0.0
0.969,864.672,2.24,0.0
0.969,865.668,2.925,0.0
0.969,866.676,3.702,0.0
0.969,867.679,4.442,0.0
0.969,868.678,5.146,0.0
0.969,869.685,5.918,0.0
0.969,870.686,0.355,0.0
0.969,871.68,1.027,0.0
0.969,872.686,1.786,0.0
0.969,873.686,2.506,0.0
0.969,874.678,3.168,0.0
0.969,875.676,3.872,0.0
0.969,876.674,4.574,0.0
0.969,877.677,5.308,0.0
0.969,878.675,6.01,0.0
0.969,879.684,0.512,0.0
0.969,880.686,1.243,0.0
0.969,881.673,1.867,0.0
0.969,882.679,2.625,0.0
0.969,883.671,3.284,0.0
0.969,884.662,3.937,0.0
0.969,885.68,4.779,0.0
0.969,886.675,5.464,0.0
0.969,887.672,6.158,0.0
0.969,888.68,0.652,0.0
0.969,889.671,1.305,0.0
0.969,890.673,2.037,0.0
0.969,891.676,2.773,0.0
0.969,892.674,3.473,0.0
0.969,893.678,4.223,0.0
0.969,894.671,4.884,0.0
0.969,895.671,5.605,0.0
0.969,896.662,6.261,0.0
0.969,897.658,0.666,0.0
0.969,898.673,1.483,0.0
0.969,899.666,2.156,0.0
0.969,900.661,2.839,0.0
0.969,901.668,3.602,0.0
0.969,902.661,4.266,0.0
0.969,903.665,5.011,0.0
0.969,904.672,5.78,0.0
0.969,905.664,0.156,0.0
0.969,906.669,0.906,0.0
0.969,907.666,1.608,0.0
0.969,908.668,2.334,0.0
0.969,909.658,2.984,0.0
0.969,910.662,3.726,0.0
0.969,911.662,4.442,0.0
0.969,912.656,5.119,0.0
0.969,913.657,5.845,0.0
0.969,914.649,0.218,0.0
0.969,915.641,0.88,0.0
0.969,916.651,1.67,0.0
0.969,917.651,2.385,0.0
0.969,918.657,3.141,0.0
0.969,919.648,3.8,0.0
0.969,920.645,4.496,0.0
0.969,921.649,5.235,0.0
0.969,922.644,5.918,0.0
0.969,923.665,0.498,0.0
0.969,924.658,1.17,0.0
0.969,925.646,1.797,0.0
0.969,926.65,2.547,0.0
0.969,927.64,3.195,0.0
0.969,928.641,3.919,0.0
0.969,929.651,4.701,0.0
0.969,930.643,5.362,0.0
0.969,931.656,6.169,0.0
0.969,932.657,0.612,0.0
0.969,933.648,1.265,0.0
0.969,934.65,1.994,0.0
0.969,935.656,2.755,0.0
0.969,936.664,3.526,0.0
0.969,937.661,4.225,0.0
0.969,938.657,4.914,0.0
0.969,939.661,5.661,0.0
0.969,940.655,0.048,0.0
0.969,941.661,0.806,0.0
0.969,942.663,1.542,0.0
0.969,943.656,2.209,0.0
0.969,944.653,2.903,0.0
0.969,945.651,3.605,0.0
0.969,946.651,4.325,0.0
0.969,947.644,4.987,0.0
0.969,948.652,5.761,0.0
0.969,949.652,0.199,0.0
0.969,950.645,0.863,0.0
0.969,951.653,1.64,0.0
0.969,952.645,2.299,0.0
0.969,953.641,2.99,0.0
0.969,954.657,3.815,0.0
0.969,955.651,4.493,0.0
0.969,956.656,5.24,0.0
0.969,957.65,5.915,0.0
0.969,958.644,0.309,0.0
