1,2,3,4,,,,,,,,,,,
5.19,6836.756,4.879,5.262,-0.383,,,,,,,,,,
5.19,6834.74,3.33,3.756,-0.426,,,,,,,,,,
5.19,6832.744,1.929,2.348,-0.419,,,,,,,,,,
5.19,6830.752,0.553,0.92,-0.367,,,,,,,,,,
5.19,6828.738,5.301,5.752,-0.451,,,,,,,,,,
5.19,6826.747,3.932,4.272,-0.34,,,,,,,,,,
5.19,6824.755,2.558,2.91,-0.352,,,,,,,,,,
5.19,6822.742,1.025,1.459,-0.434,,,,,,,,,,
5.19,6820.748,5.918,0.033,-0.398185307,,,,,,,,,,
5.19,6818.753,4.52,4.927,-0.407,,,,,,,,,,
5.19,6816.726,2.897,3.338,-0.441,,,,,,,,,,
5.19,6814.713,1.375,1.765,-0.39,,,,,,,,,,
5.19,6812.717,6.254,0.302,-0.331185307,,,,,,,,,,
5.19,6810.715,4.803,5.273,-0.47,,,,,,,,,,
5.19,6808.718,3.391,3.79,-0.399,,,,,,,,,,
5.19,6806.724,1.998,2.353,-0.355,,,,,,,,,,
5.19,6804.723,0.557,0.961,-0.404,,,,,,,,,,
5.19,6802.726,5.431,5.802,-0.371,,,,,,,,,,
5.19,6800.724,3.979,4.378,-0.399,,,,,,,,,,
5.19,6798.735,2.629,3.01,-0.381,,,,,,,,,,
5.19,6796.726,1.126,1.486,-0.36,,,,,,,,,,
5.19,6794.719,5.931,0.089,-0.441185307,,,,,,,,,,
5.19,6792.725,4.535,4.994,-0.459,,,,,,,,,,
5.19,6790.727,3.121,3.455,-0.334,,,,,,,,,,
5.19,6788.724,1.664,2.084,-0.42,,,,,,,,,,
5.19,6786.73,0.273,0.646,-0.373,,,,,,,,,,
5.19,6784.733,5.148,5.465,-0.317,,,,,,,,,,
5.19,6782.727,3.664,4.025,-0.361,,,,,,,,,,
5.19,6780.738,2.314,2.682,-0.368,,,,,,,,,,
5.19,6778.731,0.829,1.277,-0.448,,,,,,,,,,
5.19,6776.741,5.749,6.168,-0.419,,,,,,,,,,
5.19,6774.749,4.37,4.786,-0.416,,,,,,,,,,
5.19,6772.732,2.819,3.241,-0.422,,,,,,,,,,
5.19,6770.718,1.289,1.725,-0.436,,,,,,,,,,
5.19,6768.724,6.177,0.262,-0.368185307,,,,,,,,,,
5.19,6766.732,4.805,5.207,-0.402,,,,,,,,,,
5.19,6764.714,3.241,3.661,-0.42,,,,,,,,,,
5.19,6762.72,1.85,2.225,-0.375,,,,,,,,,,
5.19,6760.735,0.522,0.857,-0.335,,,,,,,,,,
5.19,6758.721,5.273,5.695,-0.422,,,,,,,,,,
5.19,6756.733,3.923,4.17,-0.247,,,,,,,,,,
5.19,6754.728,2.455,2.883,-0.428,,,,,,,,,,
5.19,6752.722,0.979,1.372,-0.393,,,,,,,,,,
5.19,6750.731,5.89,6.255,-0.365,,,,,,,,,,
5.19,6748.715,4.345,4.867,-0.522,,,,,,,,,,
5.19,6746.718,2.93,3.326,-0.396,,,,,,,,,,
5.19,6744.733,1.605,1.947,-0.342,,,,,,,,,,
5.19,6742.718,0.069,0.51,-0.441,,,,,,,,,,
5.19,6740.72,4.928,5.342,-0.414,,,,,,,,,,
5.19,6738.742,3.65,3.958,-0.308,,,,,,,,,,
5.19,6736.735,2.169,2.582,-0.413,,,,,,,,,,
5.19,6734.735,0.733,1.088,-0.355,,,,,,,,,,
5.19,6732.722,5.494,5.944,-0.45,,,,,,,,,,
5.19,6730.727,4.093,4.493,-0.4,,,,,,,,,,
5.19,6728.732,2.698,3.081,-0.383,,,,,,,,,,
5.19,6726.723,1.195,1.656,-0.461,,,,,,,,,,
5.19,6724.728,6.083,0.201,-0.401185307,,,,,,,,,,
5.19,6722.735,4.698,5.127,-0.429,,,,,,,,,,
5.19,6720.722,3.173,3.604,-0.431,,,,,,,,,,
5.19,6718.734,1.826,2.212,-0.386,,,,,,,,,,
5.19,6716.756,0.546,0.879,-0.333,,,,,,,,,,
5.19,6714.739,5.275,5.707,-0.432,,,,,,,,,,
5.19,6712.748,3.904,4.238,-0.334,,,,,,,,,,
5.19,6710.755,2.522,2.846,-0.324,,,,,,,,,,
5.19,6708.711,0.777,1.245,-0.468,,,,,,,,,,
5.19,6706.719,5.686,6.112,-0.426,,,,,,,,,,
5.19,6704.727,4.304,4.719,-0.415,,,,,,,,,,
5.19,6702.71,2.753,3.211,-0.458,,,,,,,,,,
5.19,6700.728,1.443,1.839,-0.396,,,,,,,,,,
5.19,6698.737,0.075,0.431,-0.356,,,,,,,,,,
5.19,6696.721,4.809,5.309,-0.5,,,,,,,,,,
5.19,6694.741,3.519,3.892,-0.373,,,,,,,,,,
5.19,6692.75,2.145,2.487,-0.342,,,,,,,,,,
5.19,6690.725,0.534,0.957,-0.423,,,,,,,,,,
5.19,6688.732,5.441,5.83,-0.389,,,,,,,,,,
5.19,6686.737,4.04,4.284,-0.244,,,,,,,,,,
5.19,6684.724,2.51,2.927,-0.417,,,,,,,,,,
5.19,6682.724,1.077,1.458,-0.381,,,,,,,,,,
5.19,6680.71,5.83,6.279,-0.449,,,,,,,,,,
5.19,6678.721,4.472,4.97,-0.498,,,,,,,,,,
5.19,6676.727,3.082,3.465,-0.383,,,,,,,,,,
5.19,6674.721,1.606,2.061,-0.455,,,,,,,,,,
5.19,6672.741,0.313,0.69,-0.377,,,,,,,,,,
5.19,6670.743,5.176,5.538,-0.362,,,,,,,,,,
5.19,6668.739,3.716,4.115,-0.399,,,,,,,,,,
5.19,6666.756,2.398,2.783,-0.385,,,,,,,,,,
5.19,6664.761,1.003,1.363,-0.36,,,,,,,,,,
5.19,6662.762,5.856,6.28,-0.424,,,,,,,,,,
5.19,6660.769,4.473,4.939,-0.466,,,,,,,,,,
5.19,6658.761,2.987,3.321,-0.334,,,,,,,,,,
5.19,6656.751,1.481,1.889,-0.408,,,,,,,,,,
5.19,6654.752,0.056,0.427,-0.371,,,,,,,,,,
5.19,6652.73,4.75,5.227,-0.477,,,,,,,,,,
5.19,6650.737,3.368,3.764,-0.396,,,,,,,,,,
5.19,6648.742,1.965,2.316,-0.351,,,,,,,,,,
5.19,6646.723,0.403,0.842,-0.439,,,,,,,,,,
5.19,6644.718,5.215,5.657,-0.442,,,,,,,,,,
5.19,6642.724,3.82,4.111,-0.291,,,,,,,,,,
5.19,6640.729,2.427,2.771,-0.344,,,,,,,,,,
5.19,6638.722,0.943,1.375,-0.432,,,,,,,,,,
5.19,6636.729,5.838,6.219,-0.381,,,,,,,,,,
5.19,6634.733,4.435,4.828,-0.393,,,,,,,,,,
5.19,6632.724,2.935,3.349,-0.414,,,,,,,,,,
5.19,6630.739,1.609,1.972,-0.363,,,,,,,,,,
5.19,6628.739,0.176,0.615,-0.439,,,,,,,,,,
5.19,6626.74,5.031,5.461,-0.43,,,,,,,,,,
5.19,6624.747,3.646,4.005,-0.359,,,,,,,,,,
5.19,6622.737,2.149,2.574,-0.425,,,,,,,,,,
5.19,6620.726,0.632,1.05,-0.418,,,,,,,,,,
5.19,6618.733,5.533,5.905,-0.372,,,,,,,,,,
5.19,6616.721,4.014,4.414,-0.4,,,,,,,,,,
5.19,6614.724,2.603,3.008,-0.405,,,,,,,,,,
5.19,6612.745,1.312,1.656,-0.344,,,,,,,,,,
5.19,6610.741,6.138,0.288,-0.433185307,,,,,,,,,,
5.19,6608.743,4.718,5.204,-0.486,,,,,,,,,,
5.19,6606.764,3.433,3.775,-0.342,,,,,,,,,,
5.19,6604.762,1.986,2.414,-0.428,,,,,,,,,,
5.19,6602.763,0.558,0.937,-0.379,,,,,,,,,,
5.19,6600.776,5.5,5.841,-0.341,,,,,,,,,,
5.19,6598.771,4.034,4.396,-0.362,,,,,,,,,,
5.19,6596.781,2.668,3.037,-0.369,,,,,,,,,,
5.19,6594.771,1.16,1.624,-0.464,,,,,,,,,,
5.19,6592.778,6.058,0.192,-0.417185307,,,,,,,,,,
5.19,6590.785,4.679,5.123,-0.444,,,,,,,,,,
5.19,6588.773,3.16,3.597,-0.437,,,,,,,,,,
5.19,6586.774,1.735,2.138,-0.403,,,,,,,,,,
5.19,6584.787,0.39,0.722,-0.332,,,,,,,,,,
5.19,6582.761,5.058,5.421,-0.363,,,,,,,,,,
5.19,6580.746,3.52,3.959,-0.439,,,,,,,,,,
5.19,6578.755,2.151,2.528,-0.377,,,,,,,,,,
5.19,6576.759,0.745,1.093,-0.348,,,,,,,,,,
5.19,6574.761,5.603,6.025,-0.422,,,,,,,,,,
5.19,6572.772,4.251,4.627,-0.376,,,,,,,,,,
5.19,6570.754,2.689,3.147,-0.458,,,,,,,,,,
5.19,6568.765,1.333,1.739,-0.406,,,,,,,,,,
5.19,6566.773,6.24,0.328,-0.371185307,,,,,,,,,,
5.19,6564.755,4.681,5.206,-0.525,,,,,,,,,,
5.19,6562.765,3.317,3.702,-0.385,,,,,,,,,,
5.19,6560.771,1.919,2.264,-0.345,,,,,,,,,,
5.19,6558.74,0.277,0.713,-0.436,,,,,,,,,,
5.19,6556.748,5.18,5.575,-0.395,,,,,,,,,,
5.19,6554.761,3.833,4.089,-0.256,,,,,,,,,,
5.19,6552.751,2.335,2.754,-0.419,,,,,,,,,,
5.19,6550.762,0.975,1.366,-0.391,,,,,,,,,,
5.19,6548.773,5.905,6.243,-0.338,,,,,,,,,,
5.19,6546.768,4.435,4.917,-0.482,,,,,,,,,,
5.19,6544.763,2.964,3.342,-0.378,,,,,,,,,,
5.19,6542.757,1.493,1.933,-0.44,,,,,,,,,,
5.19,6540.775,0.181,0.576,-0.395,,,,,,,,,,
5.19,6538.775,5.036,5.397,-0.361,,,,,,,,,,
5.19,6536.768,3.547,3.974,-0.427,,,,,,,,,,
5.19,6534.781,2.205,2.591,-0.386,,,,,,,,,,
5.19,6532.777,0.745,1.115,-0.37,,,,,,,,,,
5.19,6530.769,5.536,5.976,-0.44,,,,,,,,,,
5.19,6528.771,4.116,4.478,-0.362,,,,,,,,,,
5.19,6526.776,2.721,3.073,-0.352,,,,,,,,,,
5.19,6524.781,1.325,1.747,-0.422,,,,,,,,,,
5.19,6522.789,6.224,0.323,-0.382185307,,,,,,,,,,
5.19,6520.779,4.718,5.191,-0.473,,,,,,,,,,
5.19,6518.797,3.411,3.739,-0.328,,,,,,,,,,
5.19,6516.794,1.957,2.369,-0.412,,,,,,,,,,
5.19,6514.792,0.51,0.88,-0.37,,,,,,,,,,
5.19,6512.775,5.239,5.692,-0.453,,,,,,,,,,
5.19,6510.776,3.814,4.134,-0.32,,,,,,,,,,
5.19,6508.777,2.386,2.748,-0.362,,,,,,,,,,
5.19,6506.756,0.808,1.237,-0.429,,,,,,,,,,
5.19,6504.763,5.704,6.102,-0.398,,,,,,,,,,
5.19,6502.771,4.327,4.708,-0.381,,,,,,,,,,
5.19,6500.757,2.795,3.223,-0.428,,,,,,,,,,
5.19,6498.765,1.418,1.806,-0.388,,,,,,,,,,
5.19,6496.774,0.052,0.385,-0.333,,,,,,,,,,
5.19,6494.755,4.765,5.255,-0.49,,,,,,,,,,
5.19,6492.766,3.407,3.779,-0.372,,,,,,,,,,
5.19,6490.792,2.159,2.47,-0.311,,,,,,,,,,
5.19,6488.774,0.6,1.004,-0.404,,,,,,,,,,
5.19,6486.786,5.531,5.906,-0.375,,,,,,,,,,
5.19,6484.768,3.971,4.373,-0.402,,,,,,,,,,
5.19,6482.765,2.514,2.928,-0.414,,,,,,,,,,
5.19,6480.776,1.164,1.525,-0.361,,,,,,,,,,
5.19,6478.762,5.915,0.074,-0.442185307,,,,,,,,,,
5.19,6476.765,4.498,4.979,-0.481,,,,,,,,,,
5.19,6474.777,3.148,3.499,-0.351,,,,,,,,,,
5.19,6472.769,1.659,2.085,-0.426,,,,,,,,,,
5.19,6470.772,0.247,0.615,-0.368,,,,,,,,,,
5.19,6468.778,5.14,5.464,-0.324,,,,,,,,,,
5.19,6466.764,3.608,3.984,-0.376,,,,,,,,,,
5.19,6464.766,2.188,2.56,-0.372,,,,,,,,,,
5.19,6462.762,0.725,1.179,-0.454,,,,,,,,,,
5.19,6460.776,5.672,6.073,-0.401,,,,,,,,,,
5.19,6458.771,4.201,4.597,-0.396,,,,,,,,,,
5.19,6456.775,2.8,3.147,-0.347,,,,,,,,,,
5.19,6454.769,1.322,1.751,-0.429,,,,,,,,,,
5.19,6452.782,6.263,0.357,-0.377185307,,,,,,,,,,
5.19,6450.776,4.792,5.218,-0.426,,,,,,,,,,
5.19,6448.767,3.295,3.719,-0.424,,,,,,,,,,
5.19,6446.782,1.963,2.323,-0.36,,,,,,,,,,
5.19,6444.778,0.506,0.851,-0.345,,,,,,,,,,
5.19,6442.776,5.337,5.763,-0.426,,,,,,,,,,
5.19,6440.788,3.99,4.258,-0.268,,,,,,,,,,
5.19,6438.773,2.45,2.902,-0.452,,,,,,,,,,
5.19,6436.787,1.113,1.531,-0.418,,,,,,,,,,
5.19,6434.788,5.969,0.048,-0.362185307,,,,,,,,,,
5.19,6432.774,4.442,4.992,-0.55,,,,,,,,,,
5.19,6430.795,3.151,3.551,-0.4,,,,,,,,,,
5.19,6428.801,1.761,2.113,-0.352,,,,,,,,,,
5.19,6426.779,0.172,0.596,-0.424,,,,,,,,,,
5.19,6424.785,5.068,5.46,-0.392,,,,,,,,,,
5.19,6422.792,3.677,3.969,-0.292,,,,,,,,,,
5.19,6420.778,2.15,2.565,-0.415,,,,,,,,,,
5.19,6418.775,0.698,1.09,-0.392,,,,,,,,,,
5.19,6416.779,5.57,5.898,-0.328,,,,,,,,,,
5.19,6414.77,4.072,4.455,-0.383,,,,,,,,,,
5.19,6412.769,2.634,3.02,-0.386,,,,,,,,,,
5.19,6410.76,1.136,1.585,-0.449,,,,,,,,,,
5.19,6408.775,6.091,0.203,-0.395185307,,,,,,,,,,
5.19,6406.772,4.642,5.103,-0.461,,,,,,,,,,
5.19,6404.762,3.134,3.617,-0.483,,,,,,,,,,
5.19,6402.779,1.821,2.202,-0.381,,,,,,,,,,
5.19,6400.781,0.399,0.756,-0.357,,,,,,,,,,
5.19,6398.775,5.206,5.652,-0.446,,,,,,,,,,
5.19,6396.788,3.861,4.17,-0.309,,,,,,,,,,
5.19,6394.772,2.321,2.706,-0.385,,,,,,,,,,
5.19,6392.786,0.987,1.327,-0.34,,,,,,,,,,
5.19,6390.77,5.719,6.145,-0.426,,,,,,,,,,
5.19,6388.775,4.324,4.759,-0.435,,,,,,,,,,
5.19,6386.792,3.011,3.345,-0.334,,,,,,,,,,
5.19,6384.777,1.471,1.871,-0.4,,,,,,,,,,
5.19,6382.771,6.281,0.366,-0.368185307,,,,,,,,,,
5.19,6380.757,4.748,5.22,-0.472,,,,,,,,,,
5.19,6378.76,3.334,3.712,-0.378,,,,,,,,,,
5.19,6376.764,1.925,2.282,-0.357,,,,,,,,,,
5.19,6374.76,0.465,0.904,-0.439,,,,,,,,,,
5.19,6372.77,5.387,5.781,-0.394,,,,,,,,,,
5.19,6370.779,4.019,4.272,-0.253,,,,,,,,,,
5.19,6368.763,2.467,2.904,-0.437,,,,,,,,,,
5.19,6366.767,1.061,1.438,-0.377,,,,,,,,,,
5.19,6364.786,6.045,0.088,-0.326185307,,,,,,,,,,
5.19,6362.764,4.459,4.986,-0.527,,,,,,,,,,
5.19,6360.773,3.091,3.476,-0.385,,,,,,,,,,
